瑴	瑴玉裁成却附离
剃	剃头未必知心法 剃发染衣情未磨 剃发多缘是代耕 剃得头光快活生 剃除绀发搭伽梨 剃发秋池照病颜 剃髭刃涩秋窗冷 剃头本意求成佛 剃尽心花始剃头 剃锄长及夏时营
剧	剧谈不觉引杯长 剧辛乐毅感恩分 剧怜汉贼洪亨九 剧谈莫问井阑干 剧饮未尝过五分 剧盗曾从宗父命 剧饮狂歌总是真 剧饮千杯男儿事 剧谈当许岸乌纱 剧县归时论正哗
剖	剖尽衷肠人不会 剖心莫写孤臣愤 剖符千户舞阳城 剖心输丹雪胸臆 剖舌多因强语言 剖而食之甜如蜜 剖破方知无罅缝 剖判三才堪测度 剖瓜插竹诉穷愁 剖腹倾心俱漏泄
剔	剔起便行三万里 剔起眉毛还不见 剔开灵穷虎龙交 剔出急波俱绝尽 剔尽寒灯梦不成 剔起眉毛才拟议 剔起眉毛不在多 剔起眉毛何处去 剔尽青灯睡失时 剔开红焰救飞蛾
剜	剜劖不已石无尽 剜心剖腹继传灯 剜肌不补眼下疮 剜剜深脐脂焰焰 剜苔剔藓露节角 剜破琉璃绿一方 剜粉劖青留姓名 剜湘为砚岳为屏 剜刻浑无斧凿痕 剜刻圣道无完涂
剗	剗草曾升马祖堂 剗蹈金莲行款款 剗除风雪关山句
副	副能得见茶瓯面 副我凭栏一望时 副之长句封天葩 副使官闲莫惆怅 副能守得春来到 副使量移岂系程 副能小睡还惊觉 副使官闲花亦冷 副本傥蒙轻乞与 副本能传幸一观
剨	剨然一击电光飞 剨然霹坜暗招提 剨然一声到匕箸 剨见仇池社里人 剨然曳转大潭左 剨勒扫空消霁虹
割	割鲜藉草酒淋漓 割舍拍盲穷性命 割得天孙锦一机 割鸡聊此宰中都 割断繁华掉却荣 割了舌头赶退魔 割晴耕雨难均得 割马烧羊熬解粥 割舍昏沈入醉乡 割镫难留乘马东
剩	剩按山中诗酒部 剩水残山无态度 剩拼华发醉为乡 剩风残月小庭空 剩看走笔挥风雨 剩种庭萱春不老 剩欲尊前说故乡 剩挽雕盘敧醉帽 剩有西湖处士风
剽	剽东掠西何等语 剽闻属郡微有警
剸	剸脍龙蛟刀几熟 剸烦自昔多馀刃 剸繁健手付方州 剸繁自是君余事 剸剧裁繁特余事 剸取寒蛟烹腹腴 剸虎裁蛟彼一时
劂	劂后生子子生孙 劂祖慈事宗苍筼 劂却地皮人痛哭
劃	劃断天云不放高 劃地岂能容贼窟
劓	劓刖情知无可补
劖	劖岷峨万仞之嵋 劖削碧玉成芙蓉 劖划巉岩开洒落 劖石万仞不作痴 劖劖天壁面削起
劘	劘嘴整毛坐吾屋 劘之道义拯之难
劚	劚开幽涧藓苔斑 劚石深耕瑶草烟 劚破莓苔得几竿 劚药童穿溪罅去 劚开岚翠为高垒 劚従芸阁杀青余 劚烟栽药为身计 劚破烟丛带笋移 劚后还应带石花 劚药满囊身不病
儿	儿童群戏艳阳天 儿童竹马笑谈新 儿孙罗列劝金锺 儿辈从教鬼画符 儿童散学归来早 儿童急走追黄蝶 儿女纷纷夸结束 儿童藉草几成市 儿童相见不相识 儿女传杯兄弟会
允	允文事业从容了 允协菁莪乐育诗 允贤巨力障横流 允以名堂由意实 允公舒卷皆以道 允文允武足临容 允兄先已破天荒 允怀固是常存养 允光何事太侏儒 允愿凉风吹酗毒
兄	兄九江兮弟三峡 兄兄弟弟自成行 兄弟和时妯娌和 兄弟出入双车轮 兄作新庵接旧居 兄弟华颠自献酬 兄弟印绶皆被夺 兄生辛未吾丁丑 兄弟灯前家万里
光	光明休咏汉宫新 光景如箭亦如飞 光影芒芒夜未央 光景尤宜年少面 光禄池台文锦绣 光价岂止百倍过 光阴须得酒消磨 光明常照芝田下 光阴虚度影参差
先	先裁翡翠装成盖 先农祀罢东郊晓 先问梅花借小春 先向天厨号令通 先觉春风一夜来 先说一些儿事喜 先生日夜歌彤管 先送天孙来乞巧 先生续集再编年 先探谁家梅最早
兇	兇鲸蚋集不可羁
兆	兆见维秦符佐命 兆及丰年喜欲歌 兆人无主属贤人 兆朕消磨只自知 兆自襄公终始皇 兆启佳城欲葬滕 兆人疲弊不堪命 兆来鬼璧沙丘近 兆民虽云非旧知 兆自心机闢阖间
兕	兕觥只酌春酒醇 兕甲楼船海外归 兕容于野虽非地 兕觥犹及享公堂 兕载吹兮音咿咿
党	党籍何劳口舌争 党锢无钩汉亦衰 党碑雷震雹冰寒 党晖陶谷总酸寒 党锢诸生尊孺子 党禁兴来士气孱 党公姜字发蒙初 党进那知雪水烹 党论到头不堪说 党祸本从名辈出
兜	兜率宫中卒难讨 兜率天宫初说梦 兜鍪元许换貂蝉 兜率甘迟十劫生 兜率未离尘满面 兜上朦胧业眼来 兜罗绵云常满谷 兜率宫中把不定 兜罗绵样硬赘头 兜率天中已归去
兢	兢兢晚节蹈渊冰 兢兢惕惕持谦德 兢兢不睹不闻时 兢把粉质斗芳容 兢兢恐堕异端中
二	二月春期看已半 二月和风到碧城 二月春风似剪刀 二边俱遣弃中心 二十三年弃置身 二月春耕昌杏密 二顷良田无觅处 二月春花厌落梅
亏	亏君视草禁中客 亏成久不挠心旌 亏损工夫只自怜 亏蔽景光森雨足 亏蟾便是陈宫镜 亏杀当年邓仲华
于	于君去后少交亲 于中沈净好情怀 于今腐草无莹火 于焉逸豫永无期 于今为庶为清门 于今莫笑胡僧妄 于阗名王进玉来 于今几度蓼花秋 于飞有愿恨难从 于今蹙在片时中
元	元气本同天地寿 元非看竹探梅花 元宵且说景龙灯 元是南箕一寿星 元凯后身居玉帐 元来却是吴姬扉 元知造物心肠别 元龙非复少时豪 元子寄奴曾富贵
互	互换说法元如此 互出新诗殊未艾 互不成者谁佛刹 互说年来疾逼身 互换机锋子细看 互将鱼目作明珠 互把精微著易篇 互相话说情何浓 互市贾胡共香火 互换证明还了了
井	井梧宫簟生秋意 井桐飘叶觉秋深 井梧摇落故园秋 井桐双照新妆冷 井花浮翠金盆小 井梧零乱惹残烟 井底蛙牛逞巨江 井边风叶战秋声 井边含水喷鸦雏 井梧叶叶秋风晚
五	五百年前事总知 五日都无一日阴 五云两两望三台 五门金碧射晴空 五夜车尘马足香 五子用失乎家衖 五星一老斗光芒 五陵年少争缠头 五岭逶迤腾细浪 五花结队香如雾
云	云浆未饮结成冰 云鬓鬅松眉黛浅 云水萦回溪上路 云中谁寄锦书来 云鬓花颜金步摇 云何不饮对公荣 云栈萦纡登剑阁 云霞明灭或可睹 云髻半偏新睡觉
亘	亘初真性难生恶 亘五世纪堂哉皇 亘初独许能骑坐 亘古男儿一放翁 亘今亘古语奚论 亘初一点光如电 亘古今为诸佛母 亘古常存不记年 亘代陶鎔周礼乐 亘古灵方秘藏收
亚	亚西尾闾身毒洋 亚东黄渤谓黄海 亚父抱忠撞玉斗 亚洲大陆有一士 亚身受取白玉羁 亚相勤王甘苦辛 亚驼巫阳莅鸡豕 亚竖摩醯顶门眼 亚相书翰凌献之 亚夫咍尔为徒劳
些	些小道功如不信 些儿毒气谁轻触 些些纰缦最宜人 些儿景趣君休羡 些儿年纪正难禁 些儿欠缺便徒然 些些蕊里藏风韵 些儿心事对谁说 些小白须何用染 些些力量分阶级
匹	匹似人间兄与弟 匹配阴阳合精血 匹如身后莫相关 匹马纵横藉筋脚 匹如东土生三叶 匹似病风兼病脚 匹马西从天外归 匹似当初本不来 匹马駸駸又重到 匹似才人增阅历
匝	匝地普天收不得 匝地弥天日用常 匝近清明檐外叫 匝岸烟霏吹不断 匝宇宙兮华胥人 匝地何时簇锦茵 匝地普天星斗出 匝地印月筛黄金 匝地风霜定纪纲
匠	匠石善运郢不危 匠手凿开玉莲蓬 匠石狼顾相愁冤 匠人虽巧欲何如 匠世未能窥一班 匠石不能材社栎 匠出西湖作画屏 匠成伏火纯阳体 匠石操斤游林下
匡	匡庐一带不停留 匡人於此莫如予 匡衡抗疏功名薄 匡赞则星辰下来 匡庐山下老僧知 匡山处士名称朴 匡床自拂眠清画 匡庐五老蓬莱山 匡庐便是逃名地 匡庐山高高几重
匣	匣里金刀血未干 匣中宝剑作雷吼 匣底豪曹苔欲满 匣中宝剑夜有声 匣里青萍漫三尺 匣中秋水拔青蛇 匣剑时磨待断鲸 匣晨磁瓶厚布囊 匣中宝剑时频吼
医	医无绝艺空三易 医翁怜病献新方 医不可招惟忍病 医得耳聋成瞎秃 医翁筮叟真堪友 医如俯身拾地芥 医为疾平新扫迹 医使元餐药治之 医尽人间短命花
匦	匦函上书动天子 匦函朝出开明光 匦函有疏为平戎
匼	匼匝渠穿宛转桥 匼匝青罗布障遮 匼匝千山与万山 匼匝巅山万仞余 匼匝烟云杨柳岸 匼匝满庭翔翠鸾 匼匝新园一径通
匪	匪服胡颜上赤墀 匪但书看逸少亲 匪躬尽瘁握机权 匪将履尾求兢惕 匪石有怀徒炯沿 匪朝伊夕步花砖 匪石未闻心可转 匪悟浮休肯豫图 匪将门阀傲江滨 匪人阿比敢言他
匿	匿兰含蕙无消息 匿王空记看河时 匿兰含蕙各西东 匿笑隣翁欲斗迎 匿形注目摇雨股
匾	匾匾团团铜作胎 匾担蓦折两头脱
匮	匮中盐玉可求旒
匳	匳开宝鉴大如许
邓	邓攸无子寻知命 邓禹封侯子陵钓 邓禹笑人无限也 邓隐峰破禅规则 邓公马癖人共知 邓尉山边七宝滩 邓家无子不留金 邓侯诗成锦绣段 邓攸无子续清风 邓林翘楚已无存
队	队谷云低梅雨多 队马连云拥醉娥 队晴每付鹁鸪知 队队云山拥画屏 队队雄军惊御辇 队吏衙官出劝农 队队峰峦入短篷 队队红妆竞采莲 队游多是布荆人 队舞花簪送酒频
邗	邗沟风动水萍开 邗江烟月未全贫 邗沟仆射戎政闲 邗沟流水月苍苍 邗沟缭绕上云空 邗沟帆席即长淮
邙	邙岭林泉似北山 邙阴高树藏低岭 邙山秋日露崔嵬 邙阜真宫共寻访
阡	阡原变徙陵欲翻 阡陌东西山北南 阡陌躬行谨邵农 阡陌周旋约已成 阡陌纵横万亩连 阡陌儿童戏雉间 阡陌经行早布春 阡陌相望苗就槁
邛	邛人自爱橘中乐 邛竹纱巾处处游 邛郲九折何足驱 邛竹烟中动酒钩 邛州灵境产修篁 邛竹笋长椒瘴起 邛崃关下木兰红 邛有旨鷊[2] 邛关九折无平路
阨	阨穷未觉英豪耻
邦	邦人讼少文移省 邦伯今推第一流 邦人送我说殷勤 邦人思之比父母 邦人父老为君喜 邦人江上建此亭 邦家亿载蒙繁祉 邦人苦旱日呻呼 邦人处处作离宫 邦衡此语亦诚哉
邠	邠郊风教农桑国 邠王玉笛三更咽 邠宁飞书夜半至
防	防奸惟许属鞬随 防患每忧鸡雀口 防秋戎马恐来奔 防后飞军雪里来 防虎家家栅树荆 防奢止欲皆相准 防雪先教盖鹤笼 防秋又说枣儿红 防备秋来供御著 防身细按威神剑
阶	阶前青紫团兰玉 阶前更著锦熏笼 阶前走马人宣尉 阶前黄叶两三片 阶前摘得宜男草 阶砌芝兰欲满门 阶下寒声啼络纬 阶前俯首莫沉迷 阶前闷杀葬花人
阮	阮籍醉睡不论昏 阮郎何事绝音徽 阮籍刘伶智如海 阮咸横膝清音奏 阮籍途穷旨趣低 阮咸卧摘孤风在 阮琴斜挂香罗绶 阮公施香孰施字 阮籍兴怀广武城 阮郎何事不归来
邬	邬江江上祀陶公
邢	邢子襟灵旧绝尘 邢真衔册到江南 邢山郑冢俭规模 邢侯胸中有王霸 邢山龙老不安眠 邢恕无知却背师 邢山潭中黑色龙 邢娥微服屏粉黛 邢子韵胜开冰壶
阳	阳关莫作三叠唱 阳城下蔡困嫣然 阳羡姑苏已买田 阳气初升土脉苏 阳关声里樱桃破 阳关一曲肠千断 阳和消息自天来 阳关常恨不堪闻 阳春一曲情千万 阳春夭冶二三月
阴	阴气凝兮雪夏零 阴阴夏木啭黄鹂 阴阳爻象此为宗 阴阴树色笼晴昼 阴功及物最玄珠 阴阳造化无非实 阴云晕气若重围 阴阳数足自通神 阴阳去住捉寒暄 阴阳不可与俪偕
阵	阵是清和人正困 阵马抛来髀肉生 阵惊毫邑水云蓑 阵阵开旗不展旗 阵云朝结晦天山 阵阵风寒树树斜 阵阵寒香压麝脐 阵前乞降马前舞 阵阵香风胜瑞彩 阵前金甲受降时
邞	邞淇自古北流水
邶	邶俗谁能不采唐
邲	邲鉴总龟如往学
邴	邴公遗事久寥寥 邴原虽不无端醉 邴原避地岂无依 邴郑向尝依北海 邴丹六百辄免官 邴禄初过谋秫酒
陈	陈蒲鞋倒退三千 陈侯立身何坦荡 陈仓石鼓又已讹 陈迹纷纷朽简中 陈宠觱栗沈平笙 陈王没后是童男 陈王昔时宴平乐 陈见解者希相许 陈州人出许州门 陈编欲绝犹堪读
邸	邸居兀坐关山隔 邸吏相惊印绂鲜 邸筒朝解得君诗 邸中掾史见犹疑 邸第楼台多气色 邸吏俄传远讣来 邸圆中规圭合矩 邸舍稀疏驿路长 邸报束作一筐灰
附	附干将呈瑞木符 附高烨烨鄙凌霄 附骥新吟莫厌频 附：再游玄都观 附城犹尔况村赊 附郭小圃宜勤锄 附耳低言玄妙旨 附书勤扫东园雪 附书与裴因示苏 附会便为神所告
邯	邯郸奏罢宫中乐 邯郸驿里逢冬至 邯郸四十万秦坑 邯郸奇弄出文梓 邯郸古道伤行客 邯郸道上断人行 邯郸一枕谁忧乐 邯郸梦不到寒衾 邯郸陌上三月春
际	际高极厚知难报 际天拖练夜潮来 际暮演筹落魄归 际海边疆万里开 际会风云底时节 际会明时蚤显荣 际山多瘦梅修竹 际会先生蒙妙旨 际晚乌银何许买 际天和气与精神
邻	邻僧不用分香钵 邻砧落日数声残 邻曲都无步往踪 邻父筑场收早稼 邻翁能共一瓯茶 邻里聚看湖边归 邻院相招象戏归 邻家鞭笋过墙来 邻僧送米续朝餐 邻鸡且莫催清晓
陇	陇首云收天色暮 陇上雕鞍惟数骑 陇头春色寄来迟 陇月巴云空复情 陇头呜咽水声繁 陇梅暗落芳英断 陇头几树红梅落 陇头无驿奚为朵 陇麦青春燕色过 陇头月助放光明
邱	邱壑甚惭心赏误 邱壑正多亡国恨 邱壑苦留廓庙人 邱陇田园系客情 邱嫂拔秧哥去耕 邱壑未应容谢传 邱郎气如春景晴 邱垄凄凉落照中 邱虚余意谁相问 邱貉何曾异古今
邵	邵伯津头闸未开 邵平後来谒萧相 邵子先天一画无 邵陵佳树碧葱茏 邵阳歧路不崎岖 邵州正月风气殊 邵家高楼白日边 邵伯优贤任养闲 邵平瓜地要人锄 邵瓶无酒辜心赏
陀	陀罗尼句觉皇宣 陀尼为背锦为裳
邺	邺傍高冢多贵臣 邺下风流在晋多 邺下关中不赋诗 邺城苍苍白露微 邺下淹留佳赏新 邺下常传慷慨言 邺城也似洛城阔 邺骑还惊宝玦来 邺宫梁苑徒有名 邺中才子逊东阿
邮	邮签忽报旌麾入 邮亭慈竹笋穿篱 邮壁题诗尽偶然 邮夫防吏急喧驱 邮亭今夜月空圆 邮筒到眼还新诗 邮亭仓卒芜萎粥 邮筒不住如飞翼 邮童不解献茱萸 邮筒开处得新吟
邹	邹阳暖艳催花发 邹阳感慨白头新 邹家不用偏吹律 邹律有风吹不变 邹衍衔悲系燕狱 邹枚未用争诗酒 邹湛不逢羊叔子 邹律潜消黍谷寒 邹郎吹律为薰之 邹忌不如徐公美
阻	阻绝干戈得暂经 阻积雪兮心烦劳 阻风江浦诗成束 阻暑聊为无赖饮 阻避钧衡过十年 阻风滋味暂时生 阻风中酒过年年 阻兵卧疾负归期 阻风无酒倍消魂 阻风中酒动兼旬
郃	郃占逖应星舒彩
郏	郏鄏城中同德友 郏鄏城中自在人 郏鄏城高门倚天 郏瀼之鼎淮泗流 郏鄏妖兴炎汉衰
郊	郊庙休疑聚论殊 郊原雨足信风还 郊原雨过金英秀 郊原草木皆清新 郊坰。未厌游情 郊仪大设康哉世 郊居本自依农圃 郊外黄垓端可厌 郊外春和宜散步
郎	郎马频嘶竟不来 郎船不觉来身畔 郎似梅花侬似叶 郎情秋后萧疏叶 郎多才俊兼年少 郎当屋舍没人修 郎心如妾妾如郎 郎似游丝常惹绊 郎星初度一旬前 郎船几度偷相访
陋	陋屋略如营窟世 陋室风多青灯灺 陋巷无心长草莱 陋巷藜羹心自乐 陋屋雨来初变寒 陋巷闭门唯读书 陋巷何须叹一瓢 陋巷不骑金钉马 陋儒编诗不收入 陋巷闭门常谢客
陕	陕府铁牛添得渴 陕府铁牛口门窄 陕府铁牛两角折 陕府铁牛吞大像 陕州司马去何如 陕城天险枕河湄 陕府铁牛双角露 陕服城闉控此中 陕界霜氛迎喜气 陕州主帅忠且贞
郄	郄诜片玉如能挹 郄诜可要真消息 郄诜重折月中桂 郄诜联臂升天路 郄公门下识羲之 郄诜树老尧蓂换 郄公怜戆亦怜愚 郄诜丹桂无人指 郄家太尉王东床 郄枝无分住应难
限	限尽临头著甚医 限到着甚理逃＊ 限临谁问将臣强 限临都送北邙居 限量知见徒斟酌 限日未成宫里怪 限临选甚父娘兄 限于地气因殊风 限隔华夷天意明 限南北七豪雄占
郁	郁陶思君未敢言 郁葱佳气琴堂满 郁垒神荼写未真 郁郁黄花翠竹光 郁轮袍曲惭新奏 郁郁葱葱佳气浮 郁金黄染柳丝风 郁郁黄花生翠竹 郁孤台下清江水
郓	郓州溪堂遂寂寞 郓使溪前经律诹 郓州溪堂虢州洞
郑	郑公樗散鬓成丝 郑国游人未及家 郑侯美政推仁厚 郑袖娇娆酣似醉 郑庄场圃入微茫 郑虔自笑穷耽酒 郑傅怜才恰半年 郑买正应求死鼠 郑公乡老开酒尊 郑子江头逢二女
郅	郅都尚作云中守
邾	邾仲羲持示词卷 邾卑鄫陋素备无 邾小尚许趋风降 邾城山下梅花树
陛	陛下恩深不忍欺 陛下万古垂鸿名 陛下文武收英髦 陛下中兴天所命 陛下果能行古道 陛下谦恭似孝宗 陛下胡为先一州 陛楯诸郎自相语 陛楯诸郎空雨立 陛下柬求今日始
除	除书已拟封黄纸 除却巫山不是云 除向瑶台月下逢 除却渠侬没事多 除身外尽是闲愁 除非世上无离别 除却醴泉中太乙 除却雅言都不知 除□飞仙谁得至 除却江南黄九外
陡	陡惊春报千林信 陡觉品俗又香慳 陡忆群瞻跸路蹊 陡惊懒慢随年长 陡思我祖开创艰 陡觉三更布被轻 陡觉江山增气象 陡觉园林处处凉 陡觉去年梅蕊旧 陡改红颜衰体瘦
郛	郛郭上当星纪分 郛郎之贫亦相似
郝	郝隆幽腹对晴空 郝原春雪随双鱼 郝源北苑大云际
郡	郡国士马羽林材 郡国欢呼拆紫泥 郡阁南风才几日 郡庭花落欲黄昏 郡国吏功差次之 郡邑萧条有户三 郡亭枕上看潮头 郡邑贪残固合诛 郡侯逐出浑闲事
郦	郦烹未久蒯几烹 郦生自谓我非狂 郦生辩口如河悬 郦生泉下还知否 郦儿给印屠诸吕 郦生常谓我非狂
