瑴	瑴玉裁成却附离
原	原璧应难赵氏收 原一见兮道余意 原徼幸而有待兮 原野烟芜减旧痕 原慕先圣之遗教 原自往而径游兮 原沉滞而不见兮 原皓日之显行兮 原衔枚而无言兮 原寄言夫流星兮
厩	厩马肥死弓断弦 厩中高桁排蹇蹄 厩马蒙毡立夜阑 厩马万匹皆吾师 厩马连嘶换主声 厩马翩翩禁外逢 厩马嘶风柳絮肥 厩马长鸣暂出闲 厩马翩翩出汉宫 厩无良马乘疲牛
厢	厢中乘客浴春光
厡	厡惟博而好直兮
厨	厨烟未动日平西 厨传相仍市井贫 厨中玉馔盈金盘 厨冷难留乌止屋 厨荒灶鬼未须嗔 厨中有碗黄齑粥 厨烟不禁饭黄精 厨人失职晏忘炊 厨中蒸粟埋饭瓮 厨车古有刑都市
厥	厥包万里逐雕题 厥子安能解国忧 厥角稽首并二州 厥初得之病耳妇 厥初是理与俱生 厥木惟乔厥草夭 厥初捧楬土与木 厥初开闢浩难名 厥然别有真奇妙 厥妻曝日补破襦
厮	厮配得才貌仙郎 厮养前行疑叵可 厮征伯侨役羡门 厮养能弯象弭弓 厮扑场中作断交
刀	刀尺不亏绳墨在 刀圭服了得神仙 刀出昆吾宝籀开 刀笔之吏臣执之 刀尺相将拄杖头 刀圭饵了丹书降 刀裁锦断诗可灭 刀砺君看日日销 刀尺下一机之绢 刀尺使时无作念
刁	刁斗夜急虎帐静 刁斗辕门五夜深 刁斗夜鸣兵四合 刁斗严更军耳目 刁斗相闻邹近鲁 刁斗声间罢夜烽 刁斗声中废夜眠 刁斗无声晓漏干 刁斗城头夜月寒 刁斗令严青海夜
刃	刃边飒飒尘沙缺 刃血攻聊已越年 刃顿兵间空细柳 刃淬初蟾鞘金错 刃迎缕析解统要 刃下翻身会也无 刃游余地宰金沙 刃可吹毛锦为带 刃投有间多余地 刃头已吐微微烟
刍	刍粟岂复烦车箱 刍言安得及王言 刍狗何劳收已陈 刍豢縻人受羇络 刍狗分明迹已陈 刍拳有时荐藜藿 刍狗吠时天地合 刍荛何自达修门 刍狗无由学圣贤
初	初荷出水清香嫩 初我送君出户时 初为霓裳后六幺 初日已知长一线 初捻霜纨生怅望 初拈霜纨生怅望 初将明月比佳期 初闻涕泪满衣裳 初既与余成言兮 初过西风烟雨微
